date,store_id,product_id,category,region,inventory_level,units_sold,units_ordered,price,discount
2025-01-30,S001,P0001,Electronics,West,321,8,0,64.4,0
2025-01-31,S001,P0001,Electronics,West,527,31,237,64.4,0
2025-02-01,S001,P0001,Electronics,West,491,36,0,64.4,0
2025-02-02,S001,P0001,Electronics,West,460,31,0,64.4,5
2025-02-03,S001,P0001,Electronics,West,435,25,0,64.4,10
2025-02-04,S001,P0001,Electronics,West,410,25,0,64.4,0
2025-02-05,S001,P0001,Electronics,West,351,59,0,64.4,0
2025-02-06,S001,P0001,Electronics,West,322,29,0,64.4,5
2025-02-07,S001,P0001,Electronics,West,296,26,0,64.4,0
2025-02-08,S001,P0001,Electronics,West,278,18,0,64.4,0
2025-02-09,S001,P0001,Electronics,West,255,23,0,64.4,0
2025-02-10,S001,P0001,Electronics,West,449,43,237,64.4,0
2025-02-11,S001,P0001,Electronics,West,448,1,0,64.4,0
2025-02-12,S001,P0001,Electronics,West,433,15,0,64.4,0
2025-02-13,S001,P0001,Electronics,West,402,31,0,64.4,0
2025-02-14,S001,P0001,Electronics,West,389,13,0,64.4,0
2025-02-15,S001,P0001,Electronics,West,356,33,0,64.4,0
2025-02-16,S001,P0001,Electronics,West,330,26,0,64.4,0
2025-02-17,S001,P0001,Electronics,West,317,13,0,64.4,0
2025-02-18,S001,P0001,Electronics,West,317,0,0,64.4,0
2025-02-19,S001,P0001,Electronics,West,295,22,0,64.4,0
2025-02-20,S001,P0001,Electronics,West,520,12,237,64.4,0
2025-02-21,S001,P0001,Electronics,West,501,19,0,64.4,15
2025-02-22,S001,P0001,Electronics,West,470,31,0,64.4,0
2025-02-23,S001,P0001,Electronics,West,436,34,0,64.4,0
2025-02-24,S001,P0001,Electronics,West,421,15,0,64.4,0
2025-02-25,S001,P0001,Electronics,West,408,13,0,64.4,0
2025-02-26,S001,P0001,Electronics,West,401,7,0,64.4,15
2025-02-27,S001,P0001,Electronics,West,372,29,0,64.4,0
2025-02-28,S001,P0001,Electronics,West,331,41,0,64.4,0
2025-03-01,S001,P0001,Electronics,West,295,36,0,64.4,0
2025-03-02,S001,P0001,Electronics,West,494,38,237,64.4,0
2025-03-03,S001,P0001,Electronics,West,481,13,0,64.4,0
2025-03-04,S001,P0001,Electronics,West,457,24,0,64.4,0
2025-03-05,S001,P0001,Electronics,West,429,28,0,64.4,0
2025-03-06,S001,P0001,Electronics,West,429,0,0,64.4,0
2025-03-07,S001,P0001,Electronics,West,420,9,0,64.4,0
2025-03-08,S001,P0001,Electronics,West,378,42,0,64.4,0
2025-03-09,S001,P0001,Electronics,West,367,11,0,64.4,0
2025-03-10,S001,P0001,Electronics,West,333,34,0,64.4,0
2025-03-11,S001,P0001,Electronics,West,328,5,0,64.4,5
2025-03-12,S001,P0001,Electronics,West,555,10,237,64.4,0
2025-03-13,S001,P0001,Electronics,West,531,24,0,64.4,0
2025-03-14,S001,P0001,Electronics,West,511,20,0,64.4,10
2025-03-15,S001,P0001,Electronics,West,489,22,0,64.4,0
2025-03-16,S001,P0001,Electronics,West,447,42,0,64.4,0
2025-03-17,S001,P0001,Electronics,West,440,7,0,64.4,0
2025-03-18,S001,P0001,Electronics,West,422,18,0,64.4,15
2025-03-19,S001,P0001,Electronics,West,396,26,0,64.4,10
2025-03-20,S001,P0001,Electronics,West,373,23,0,64.4,0
2025-03-21,S001,P0001,Electronics,West,360,13,0,64.4,0
2025-03-22,S001,P0001,Electronics,West,577,20,237,64.4,0
2025-03-23,S001,P0001,Electronics,West,543,34,0,64.4,0
2025-03-24,S001,P0001,Electronics,West,514,29,0,64.4,0
2025-03-25,S001,P0001,Electronics,West,491,23,0,64.4,5
2025-03-26,S001,P0001,Electronics,West,480,11,0,64.4,0
2025-03-27,S001,P0001,Electronics,West,466,14,0,64.4,5
2025-03-28,S001,P0001,Electronics,West,446,20,0,64.4,0
2025-03-29,S001,P0001,Electronics,West,419,27,0,64.4,0
2025-03-30,S001,P0001,Electronics,West,388,31,0,64.4,5
2025-03-31,S001,P0001,Electronics,West,370,18,0,64.4,0
2025-04-01,S001,P0001,Electronics,West,579,28,237,64.4,0
2025-04-02,S001,P0001,Electronics,West,551,28,0,64.4,10
2025-04-03,S001,P0001,Electronics,West,518,33,0,64.4,0
2025-04-04,S001,P0001,Electronics,West,498,20,0,64.4,5
2025-04-05,S001,P0001,Electronics,West,469,29,0,64.4,15
2025-04-06,S001,P0001,Electronics,West,445,24,0,64.4,0
2025-04-07,S001,P0001,Electronics,West,434,11,0,64.4,0
2025-04-08,S001,P0001,Electronics,West,393,41,0,64.4,0
2025-04-09,S001,P0001,Electronics,West,362,31,0,64.4,0
2025-04-10,S001,P0001,Electronics,West,334,28,0,64.4,0
2025-04-11,S001,P0001,Electronics,West,551,20,237,64.4,0
2025-04-12,S001,P0001,Electronics,West,534,17,0,64.4,0
2025-04-13,S001,P0001,Electronics,West,498,36,0,64.4,0
2025-04-14,S001,P0001,Electronics,West,480,18,0,64.4,0
2025-04-15,S001,P0001,Electronics,West,456,24,0,64.4,0
2025-04-16,S001,P0001,Electronics,West,442,14,0,64.4,0
2025-04-17,S001,P0001,Electronics,West,420,22,0,64.4,0
2025-04-18,S001,P0001,Electronics,West,405,15,0,64.4,5
2025-04-19,S001,P0001,Electronics,West,384,21,0,64.4,0
2025-04-20,S001,P0001,Electronics,West,356,28,0,64.4,15
2025-04-21,S001,P0001,Electronics,West,588,5,237,64.4,5
2025-04-22,S001,P0001,Electronics,West,582,6,0,64.4,10
2025-04-23,S001,P0001,Electronics,West,570,12,0,64.4,0
2025-04-24,S001,P0001,Electronics,West,552,18,0,64.4,0
2025-04-25,S001,P0001,Electronics,West,524,28,0,64.4,0
2025-04-26,S001,P0001,Electronics,West,500,24,0,64.4,0
2025-04-27,S001,P0001,Electronics,West,475,25,0,64.4,0
2025-04-28,S001,P0001,Electronics,West,458,17,0,64.4,0
2025-04-29,S001,P0001,Electronics,West,435,23,0,64.4,0
2025-04-30,S001,P0001,Electronics,West,424,11,0,64.4,0
2025-05-01,S001,P0001,Electronics,West,642,19,237,64.4,0
2025-05-02,S001,P0001,Electronics,West,618,24,0,64.4,5
2025-05-03,S001,P0001,Electronics,West,590,28,0,64.4,0
2025-05-04,S001,P0001,Electronics,West,564,26,0,64.4,0
2025-05-05,S001,P0001,Electronics,West,544,20,0,64.4,0
2025-05-06,S001,P0001,Electronics,West,519,25,0,64.4,0
2025-05-07,S001,P0001,Electronics,West,478,41,0,64.4,0
2025-05-08,S001,P0001,Electronics,West,466,12,0,64.4,10
2025-05-09,S001,P0001,Electronics,West,424,42,0,64.4,0
2025-05-10,S001,P0001,Electronics,West,407,17,0,64.4,0
2025-05-11,S001,P0001,Electronics,West,640,4,237,64.4,0
2025-05-12,S001,P0001,Electronics,West,626,14,0,64.4,0
2025-05-13,S001,P0001,Electronics,West,603,23,0,64.4,0
2025-05-14,S001,P0001,Electronics,West,564,39,0,64.4,5
2025-05-15,S001,P0001,Electronics,West,553,11,0,64.4,10
2025-05-16,S001,P0001,Electronics,West,528,25,0,64.4,5
2025-05-17,S001,P0001,Electronics,West,516,12,0,64.4,10
2025-05-18,S001,P0001,Electronics,West,472,44,0,64.4,5
2025-05-19,S001,P0001,Electronics,West,440,32,0,64.4,15
2025-05-20,S001,P0001,Electronics,West,425,15,0,64.4,0
2025-05-21,S001,P0001,Electronics,West,660,2,237,64.4,15
2025-05-22,S001,P0001,Electronics,West,627,33,0,64.4,5
2025-05-23,S001,P0001,Electronics,West,608,19,0,64.4,0
2025-05-24,S001,P0001,Electronics,West,570,38,0,64.4,0
2025-05-25,S001,P0001,Electronics,West,544,26,0,64.4,0
2025-05-26,S001,P0001,Electronics,West,524,20,0,64.4,10
2025-05-27,S001,P0001,Electronics,West,509,15,0,64.4,0
2025-05-28,S001,P0001,Electronics,West,483,26,0,64.4,0
2025-05-29,S001,P0001,Electronics,West,462,21,0,64.4,0
2025-05-30,S001,P0001,Electronics,West,437,25,0,64.4,0
2025-05-31,S001,P0001,Electronics,West,664,10,237,64.4,0
2025-06-01,S001,P0001,Electronics,West,625,39,0,64.4,0
2025-06-02,S001,P0001,Electronics,West,590,35,0,64.4,0
2025-06-03,S001,P0001,Electronics,West,569,21,0,64.4,5
2025-06-04,S001,P0001,Electronics,West,528,41,0,64.4,5
2025-06-05,S001,P0001,Electronics,West,491,37,0,64.4,0
2025-06-06,S001,P0001,Electronics,West,465,26,0,64.4,0
2025-06-07,S001,P0001,Electronics,West,426,39,0,64.4,0
2025-06-08,S001,P0001,Electronics,West,390,36,0,64.4,0
2025-06-09,S001,P0001,Electronics,West,388,2,0,64.4,0
2025-06-10,S001,P0001,Electronics,West,608,17,237,64.4,0
2025-06-11,S001,P0001,Electronics,West,581,27,0,64.4,0
2025-06-12,S001,P0001,Electronics,West,545,36,0,64.4,5
2025-06-13,S001,P0001,Electronics,West,539,6,0,64.4,10
2025-06-14,S001,P0001,Electronics,West,531,8,0,64.4,0
2025-06-15,S001,P0001,Electronics,West,506,25,0,64.4,15
2025-06-16,S001,P0001,Electronics,West,506,0,0,64.4,0
2025-06-17,S001,P0001,Electronics,West,487,19,0,64.4,0
2025-06-18,S001,P0001,Electronics,West,464,23,0,64.4,0
2025-06-19,S001,P0001,Electronics,West,454,10,0,64.4,0
2025-06-20,S001,P0001,Electronics,West,672,19,237,64.4,0
2025-06-21,S001,P0001,Electronics,West,637,35,0,64.4,0
2025-06-22,S001,P0001,Electronics,West,617,20,0,64.4,0
2025-06-23,S001,P0001,Electronics,West,605,12,0,64.4,0
2025-06-24,S001,P0001,Electronics,West,586,19,0,64.4,0
2025-06-25,S001,P0001,Electronics,West,577,9,0,64.4,0
2025-06-26,S001,P0001,Electronics,West,537,40,0,64.4,0
2025-06-27,S001,P0001,Electronics,West,517,20,0,64.4,0
2025-06-28,S001,P0001,Electronics,West,498,19,0,64.4,5
2025-06-29,S001,P0001,Electronics,West,470,28,0,64.4,10
2025-01-01,S001,P0002,Apparel,West,84,4,44,24.05,5
2025-01-02,S001,P0002,Apparel,West,80,4,0,24.05,0
2025-01-03,S001,P0002,Apparel,West,77,3,0,24.05,0
2025-01-04,S001,P0002,Apparel,West,73,4,0,24.05,0
2025-01-05,S001,P0002,Apparel,West,69,4,0,24.05,0
2025-01-06,S001,P0002,Apparel,West,64,5,0,24.05,0
2025-01-07,S001,P0002,Apparel,West,60,4,0,24.05,0
2025-01-08,S001,P0002,Apparel,West,56,4,0,24.05,0
2025-01-09,S001,P0002,Apparel,West,52,4,0,24.05,0
2025-01-10,S001,P0002,Apparel,West,49,3,0,24.05,0
2025-01-11,S001,P0002,Apparel,West,89,4,44,24.05,0
2025-01-12,S001,P0002,Apparel,West,85,4,0,24.05,0
2025-01-13,S001,P0002,Apparel,West,82,3,0,24.05,0
2025-01-14,S001,P0002,Apparel,West,79,3,0,24.05,5
2025-01-15,S001,P0002,Apparel,West,74,5,0,24.05,0
2025-01-16,S001,P0002,Apparel,West,70,4,0,24.05,0
2025-01-17,S001,P0002,Apparel,West,66,4,0,24.05,0
2025-01-18,S001,P0002,Apparel,West,62,4,0,24.05,0
2025-01-19,S001,P0002,Apparel,West,58,4,0,24.05,0
2025-01-20,S001,P0002,Apparel,West,54,4,0,24.05,0
2025-01-21,S001,P0002,Apparel,West,93,5,44,24.05,0
2025-01-22,S001,P0002,Apparel,West,88,5,0,24.05,15
2025-01-23,S001,P0002,Apparel,West,86,2,0,24.05,0
2025-01-24,S001,P0002,Apparel,West,82,4,0,24.05,0
2025-01-25,S001,P0002,Apparel,West,78,4,0,24.05,0
2025-01-26,S001,P0002,Apparel,West,74,4,0,24.05,0
2025-01-27,S001,P0002,Apparel,West,70,4,0,24.05,0
2025-01-28,S001,P0002,Apparel,West,67,3,0,24.05,15
2025-01-29,S001,P0002,Apparel,West,64,3,0,24.05,15
2025-01-30,S001,P0002,Apparel,West,61,3,0,24.05,5
2025-01-31,S001,P0002,Apparel,West,102,3,44,24.05,0
2025-02-01,S001,P0002,Apparel,West,97,5,0,24.05,0
2025-02-02,S001,P0002,Apparel,West,92,5,0,24.05,0
2025-02-03,S001,P0002,Apparel,West,88,4,0,24.05,0
2025-02-04,S001,P0002,Apparel,West,85,3,0,24.05,0
2025-02-05,S001,P0002,Apparel,West,81,4,0,24.05,0
2025-02-06,S001,P0002,Apparel,West,79,2,0,24.05,0
2025-02-07,S001,P0002,Apparel,West,75,4,0,24.05,0
2025-02-08,S001,P0002,Apparel,West,70,5,0,24.05,0
2025-02-09,S001,P0002,Apparel,West,67,3,0,24.05,0
2025-02-10,S001,P0002,Apparel,West,108,3,44,24.05,0
2025-02-11,S001,P0002,Apparel,West,104,4,0,24.05,0
2025-02-12,S001,P0002,Apparel,West,99,5,0,24.05,0
2025-02-13,S001,P0002,Apparel,West,96,3,0,24.05,0
2025-02-14,S001,P0002,Apparel,West,92,4,0,24.05,0
2025-02-15,S001,P0002,Apparel,West,86,6,0,24.05,0
2025-02-16,S001,P0002,Apparel,West,81,5,0,24.05,5
2025-02-17,S001,P0002,Apparel,West,77,4,0,24.05,15
2025-02-18,S001,P0002,Apparel,West,73,4,0,24.05,10
2025-02-19,S001,P0002,Apparel,West,70,3,0,24.05,0
2025-02-20,S001,P0002,Apparel,West,110,4,44,24.05,0
2025-02-21,S001,P0002,Apparel,West,106,4,0,24.05,5
2025-02-22,S001,P0002,Apparel,West,101,5,0,24.05,0
2025-02-23,S001,P0002,Apparel,West,97,4,0,24.05,0
2025-02-24,S001,P0002,Apparel,West,93,4,0,24.05,0
2025-02-25,S001,P0002,Apparel,West,90,3,0,24.05,0
2025-02-26,S001,P0002,Apparel,West,86,4,0,24.05,0
2025-02-27,S001,P0002,Apparel,West,83,3,0,24.05,5
2025-02-28,S001,P0002,Apparel,West,81,2,0,24.05,0
2025-03-01,S001,P0002,Apparel,West,77,4,0,24.05,0
2025-03-02,S001,P0002,Apparel,West,116,5,44,24.05,0
2025-03-03,S001,P0002,Apparel,West,111,5,0,24.05,5
2025-03-04,S001,P0002,Apparel,West,107,4,0,24.05,10
2025-03-05,S001,P0002,Apparel,West,105,2,0,24.05,0
2025-03-06,S001,P0002,Apparel,West,103,2,0,24.05,0
2025-03-07,S001,P0002,Apparel,West,98,5,0,24.05,0
2025-03-08,S001,P0002,Apparel,West,93,5,0,24.05,5
2025-03-09,S001,P0002,Apparel,West,86,7,0,24.05,0
2025-03-10,S001,P0002,Apparel,West,83,3,0,24.05,0
2025-03-11,S001,P0002,Apparel,West,80,3,0,24.05,0
2025-03-12,S001,P0002,Apparel,West,120,4,44,24.05,0
2025-03-13,S001,P0002,Apparel,West,117,3,0,24.05,5
2025-03-14,S001,P0002,Apparel,West,112,5,0,24.05,0
2025-03-15,S001,P0002,Apparel,West,108,4,0,24.05,5
2025-03-16,S001,P0002,Apparel,West,103,5,0,24.05,0
2025-03-17,S001,P0002,Apparel,West,100,3,0,24.05,0
2025-03-18,S001,P0002,Apparel,West,96,4,0,24.05,0
2025-03-19,S001,P0002,Apparel,West,93,3,0,24.05,0
2025-03-20,S001,P0002,Apparel,West,89,4,0,24.05,0
2025-03-21,S001,P0002,Apparel,West,84,5,0,24.05,0
2025-03-22,S001,P0002,Apparel,West,125,3,44,24.05,0
2025-03-23,S001,P0002,Apparel,West,119,6,0,24.05,10
2025-03-24,S001,P0002,Apparel,West,115,4,0,24.05,0
2025-03-25,S001,P0002,Apparel,West,112,3,0,24.05,0
2025-03-26,S001,P0002,Apparel,West,108,4,0,24.05,0
2025-03-27,S001,P0002,Apparel,West,104,4,0,24.05,10
2025-03-28,S001,P0002,Apparel,West,101,3,0,24.05,0
2025-03-29,S001,P0002,Apparel,West,96,5,0,24.05,0
2025-03-30,S001,P0002,Apparel,West,90,6,0,24.05,10
2025-03-31,S001,P0002,Apparel,West,87,3,0,24.05,10
2025-04-01,S001,P0002,Apparel,West,128,3,44,24.05,15
2025-04-02,S001,P0002,Apparel,West,124,4,0,24.05,5
2025-04-03,S001,P0002,Apparel,West,120,4,0,24.05,0
2025-04-04,S001,P0002,Apparel,West,115,5,0,24.05,0
2025-04-05,S001,P0002,Apparel,West,110,5,0,24.05,5
2025-04-06,S001,P0002,Apparel,West,106,4,0,24.05,0
2025-04-07,S001,P0002,Apparel,West,103,3,0,24.05,0
2025-04-08,S001,P0002,Apparel,West,101,2,0,24.05,10
2025-04-09,S001,P0002,Apparel,West,98,3,0,24.05,0
2025-04-10,S001,P0002,Apparel,West,95,3,0,24.05,0
2025-04-11,S001,P0002,Apparel,West,136,3,44,24.05,0
2025-04-12,S001,P0002,Apparel,West,132,4,0,24.05,0
2025-04-13,S001,P0002,Apparel,West,130,2,0,24.05,10
2025-04-14,S001,P0002,Apparel,West,126,4,0,24.05,0
2025-04-15,S001,P0002,Apparel,West,121,5,0,24.05,0
2025-04-16,S001,P0002,Apparel,West,116,5,0,24.05,0
2025-04-17,S001,P0002,Apparel,West,113,3,0,24.05,0
2025-04-18,S001,P0002,Apparel,West,110,3,0,24.05,15
2025-04-19,S001,P0002,Apparel,West,103,7,0,24.05,0
2025-04-20,S001,P0002,Apparel,West,98,5,0,24.05,0
2025-04-21,S001,P0002,Apparel,West,138,4,44,24.05,0
2025-04-22,S001,P0002,Apparel,West,134,4,0,24.05,0
2025-04-23,S001,P0002,Apparel,West,130,4,0,24.05,0
2025-04-24,S001,P0002,Apparel,West,127,3,0,24.05,0
2025-04-25,S001,P0002,Apparel,West,124,3,0,24.05,0
2025-04-26,S001,P0002,Apparel,West,118,6,0,24.05,0
2025-04-27,S001,P0002,Apparel,West,112,6,0,24.05,0
2025-04-28,S001,P0002,Apparel,West,110,2,0,24.05,0
2025-04-29,S001,P0002,Apparel,West,108,2,0,24.05,0
2025-04-30,S001,P0002,Apparel,West,105,3,0,24.05,0
2025-05-01,S001,P0002,Apparel,West,144,5,44,24.05,0
2025-05-02,S001,P0002,Apparel,West,139,5,0,24.05,0
2025-05-03,S001,P0002,Apparel,West,134,5,0,24.05,0
2025-05-04,S001,P0002,Apparel,West,130,4,0,24.05,0
2025-05-05,S001,P0002,Apparel,West,127,3,0,24.05,0
2025-05-06,S001,P0002,Apparel,West,123,4,0,24.05,0
2025-05-07,S001,P0002,Apparel,West,120,3,0,24.05,0
2025-05-08,S001,P0002,Apparel,West,117,3,0,24.05,5
2025-05-09,S001,P0002,Apparel,West,114,3,0,24.05,0
2025-05-10,S001,P0002,Apparel,West,108,6,0,24.05,0
2025-05-11,S001,P0002,Apparel,West,147,5,44,24.05,0
2025-05-12,S001,P0002,Apparel,West,144,3,0,24.05,0
2025-05-13,S001,P0002,Apparel,West,140,4,0,24.05,0
2025-05-14,S001,P0002,Apparel,West,137,3,0,24.05,5
2025-05-15,S001,P0002,Apparel,West,134,3,0,24.05,0
2025-05-16,S001,P0002,Apparel,West,129,5,0,24.05,0
2025-05-17,S001,P0002,Apparel,West,126,3,0,24.05,0
2025-05-18,S001,P0002,Apparel,West,121,5,0,24.05,0
2025-05-19,S001,P0002,Apparel,West,119,2,0,24.05,0
2025-05-20,S001,P0002,Apparel,West,114,5,0,24.05,10
2025-05-21,S001,P0002,Apparel,West,155,3,44,24.05,5
2025-05-22,S001,P0002,Apparel,West,151,4,0,24.05,0
2025-05-23,S001,P0002,Apparel,West,147,4,0,24.05,0
2025-05-24,S001,P0002,Apparel,West,142,5,0,24.05,0
2025-05-25,S001,P0002,Apparel,West,137,5,0,24.05,0
2025-05-26,S001,P0002,Apparel,West,135,2,0,24.05,0
2025-05-27,S001,P0002,Apparel,West,131,4,0,24.05,15
2025-05-28,S001,P0002,Apparel,West,127,4,0,24.05,0
2025-05-29,S001,P0002,Apparel,West,124,3,0,24.05,0
2025-05-30,S001,P0002,Apparel,West,121,3,0,24.05,10
2025-05-31,S001,P0002,Apparel,West,160,5,44,24.05,0
2025-06-01,S001,P0002,Apparel,West,156,4,0,24.05,0
2025-06-02,S001,P0002,Apparel,West,151,5,0,24.05,0
2025-06-03,S001,P0002,Apparel,West,147,4,0,24.05,0
2025-06-04,S001,P0002,Apparel,West,143,4,0,24.05,0
2025-06-05,S001,P0002,Apparel,West,138,5,0,24.05,0
2025-06-06,S001,P0002,Apparel,West,136,2,0,24.05,0
2025-06-07,S001,P0002,Apparel,West,132,4,0,24.05,0
2025-06-08,S001,P0002,Apparel,West,127,5,0,24.05,0
2025-06-09,S001,P0002,Apparel,West,124,3,0,24.05,0
2025-06-10,S001,P0002,Apparel,West,165,3,44,24.05,0
2025-06-11,S001,P0002,Apparel,West,163,2,0,24.05,0
2025-06-12,S001,P0002,Apparel,West,160,3,0,24.05,0
2025-06-13,S001,P0002,Apparel,West,155,5,0,24.05,0
2025-06-14,S001,P0002,Apparel,West,150,5,0,24.05,0
2025-06-15,S001,P0002,Apparel,West,145,5,0,24.05,0
2025-06-16,S001,P0002,Apparel,West,142,3,0,24.05,0
2025-06-17,S001,P0002,Apparel,West,138,4,0,24.05,0
2025-06-18,S001,P0002,Apparel,West,133,5,0,24.05,0
2025-06-19,S001,P0002,Apparel,West,130,3,0,24.05,0
2025-06-20,S001,P0002,Apparel,West,170,4,44,24.05,0
2025-06-21,S001,P0002,Apparel,West,164,6,0,24.05,0
2025-06-22,S001,P0002,Apparel,West,159,5,0,24.05,0
2025-06-23,S001,P0002,Apparel,West,156,3,0,24.05,0
2025-06-24,S001,P0002,Apparel,West,152,4,0,24.05,0
2025-06-25,S001,P0002,Apparel,West,150,2,0,24.05,0
2025-06-26,S001,P0002,Apparel,West,146,4,0,24.05,0
2025-06-27,S001,P0002,Apparel,West,142,4,0,24.05,0
2025-06-28,S001,P0002,Apparel,West,137,5,0,24.05,5
2025-06-29,S001,P0002,Apparel,West,132,5,0,24.05,0
2025-01-01,S001,P0003,Apparel,West,230,15,123,138.43,0
2025-01-02,S001,P0003,Apparel,West,217,13,0,138.43,0
2025-01-03,S001,P0003,Apparel,West,204,13,0,138.43,0
2025-01-04,S001,P0003,Apparel,West,190,14,0,138.43,0
2025-01-05,S001,P0003,Apparel,West,183,7,0,138.43,10
2025-01-06,S001,P0003,Apparel,West,167,16,0,138.43,15
2025-01-07,S001,P0003,Apparel,West,157,10,0,138.43,5
2025-01-08,S001,P0003,Apparel,West,143,14,0,138.43,5
2025-01-09,S001,P0003,Apparel,West,127,16,0,138.43,0
2025-01-10,S001,P0003,Apparel,West,120,7,0,138.43,0
2025-01-11,S001,P0003,Apparel,West,232,11,123,138.43,0
2025-01-12,S001,P0003,Apparel,West,220,12,0,138.43,0
2025-01-13,S001,P0003,Apparel,West,203,17,0,138.43,0
2025-01-14,S001,P0003,Apparel,West,198,5,0,138.43,0
2025-01-15,S001,P0003,Apparel,West,180,18,0,138.43,0
2025-01-16,S001,P0003,Apparel,West,169,11,0,138.43,0
2025-01-17,S001,P0003,Apparel,West,157,12,0,138.43,0
2025-01-18,S001,P0003,Apparel,West,139,18,0,138.43,0
2025-01-19,S001,P0003,Apparel,West,125,14,0,138.43,10
2025-01-20,S001,P0003,Apparel,West,109,16,0,138.43,0
2025-01-21,S001,P0003,Apparel,West,225,7,123,138.43,0
2025-01-22,S001,P0003,Apparel,West,207,18,0,138.43,0
2025-01-23,S001,P0003,Apparel,West,199,8,0,138.43,0
2025-01-24,S001,P0003,Apparel,West,181,18,0,138.43,0
2025-01-25,S001,P0003,Apparel,West,170,11,0,138.43,0
2025-01-26,S001,P0003,Apparel,West,158,12,0,138.43,0
2025-01-27,S001,P0003,Apparel,West,153,5,0,138.43,0
2025-01-28,S001,P0003,Apparel,West,147,6,0,138.43,0
2025-01-29,S001,P0003,Apparel,West,137,10,0,138.43,0
2025-01-30,S001,P0003,Apparel,West,125,12,0,138.43,0
2025-01-31,S001,P0003,Apparel,West,232,16,123,138.43,10
2025-02-01,S001,P0003,Apparel,West,220,12,0,138.43,0
2025-02-02,S001,P0003,Apparel,West,213,7,0,138.43,15
2025-02-03,S001,P0003,Apparel,West,201,12,0,138.43,0
2025-02-04,S001,P0003,Apparel,West,190,11,0,138.43,0
2025-02-05,S001,P0003,Apparel,West,177,13,0,138.43,0
2025-02-06,S001,P0003,Apparel,West,170,7,0,138.43,0
2025-02-07,S001,P0003,Apparel,West,163,7,0,138.43,0
2025-02-08,S001,P0003,Apparel,West,153,10,0,138.43,0
2025-02-09,S001,P0003,Apparel,West,133,20,0,138.43,15
2025-02-10,S001,P0003,Apparel,West,238,18,123,138.43,0
2025-02-11,S001,P0003,Apparel,West,231,7,0,138.43,0
2025-02-12,S001,P0003,Apparel,West,224,7,0,138.43,0
2025-02-13,S001,P0003,Apparel,West,210,14,0,138.43,0
2025-02-14,S001,P0003,Apparel,West,191,19,0,138.43,0
2025-02-15,S001,P0003,Apparel,West,168,23,0,138.43,5
2025-02-16,S001,P0003,Apparel,West,158,10,0,138.43,5
2025-02-17,S001,P0003,Apparel,West,150,8,0,138.43,15
2025-02-18,S001,P0003,Apparel,West,138,12,0,138.43,0
2025-02-19,S001,P0003,Apparel,West,126,12,0,138.43,0
2025-02-20,S001,P0003,Apparel,West,240,9,123,138.43,0
2025-02-21,S001,P0003,Apparel,West,234,6,0,138.43,0
2025-02-22,S001,P0003,Apparel,West,221,13,0,138.43,0
2025-02-23,S001,P0003,Apparel,West,198,23,0,138.43,0
2025-02-24,S001,P0003,Apparel,West,191,7,0,138.43,5
2025-02-25,S001,P0003,Apparel,West,179,12,0,138.43,0
2025-02-26,S001,P0003,Apparel,West,154,25,0,138.43,5
2025-02-27,S001,P0003,Apparel,West,147,7,0,138.43,0
2025-02-28,S001,P0003,Apparel,West,133,14,0,138.43,0
2025-03-01,S001,P0003,Apparel,West,109,24,0,138.43,5
2025-03-02,S001,P0003,Apparel,West,215,17,123,138.43,5
2025-03-03,S001,P0003,Apparel,West,198,17,0,138.43,5
