store_id,product_id,category,region,price,avg_daily_demand,demand_std_dev,lead_time_days,safety_stock,reorder_point,current_stock,status,capital_tied_up,at_risk_revenue,as_of_date
S001,P0020,Grocery,West,184.77,14.33,4.32,3,12.35,55.34,461,Overstock,64729.54,0.0,2025-06-29
S001,P0021,Apparel,West,22.26,15.13,5.91,10,30.83,182.11,469,Overstock,2332.52,0.0,2025-06-29
S001,P0022,Apparel,West,43.22,13.26,5.81,10,30.33,162.94,311,Healthy,0.0,0.0,2025-06-29
S001,P0023,Electronics,West,13.82,1.05,0.37,14,2.28,16.98,174,Overstock,1935.35,0.0,2025-06-29
S001,P0024,Home & Kitchen,West,68.44,2.22,4.18,7,18.25,33.81,0,Stockout Risk,0.0,1064.62,2025-06-29
S001,P0025,Home & Kitchen,West,80.79,2.94,1.7,7,7.4,28.01,96,Overstock,3229.54,0.0,2025-06-29
S001,P0026,Apparel,West,57.91,7.5,2.03,10,10.62,85.62,974,Overstock,46488.39,0.0,2025-06-29
S001,P0027,Home & Kitchen,West,166.6,10.24,3.67,7,16.04,87.75,264,Overstock,14744.62,0.0,2025-06-29
S001,P0028,Home & Kitchen,West,74.57,15.22,4.11,7,17.92,124.44,377,Overstock,9553.75,0.0,2025-06-29
S001,P0029,Grocery,West,59.78,24.68,6.32,3,18.07,92.11,764,Overstock,34659.57,0.0,2025-06-29
S001,P0030,Apparel,West,110.83,3.88,6.76,10,35.27,74.11,0,Stockout Risk,0.0,4303.9,2025-06-29
S001,P0031,Personal Care,West,32.48,12.42,4.9,5,18.1,80.18,368,Overstock,6744.24,0.0,2025-06-29
S001,P0032,Apparel,West,161.43,8.57,2.98,10,15.53,101.25,1172,Overstock,156506.49,0.0,2025-06-29
S001,P0033,Personal Care,West,19.54,3.15,0.7,5,2.59,18.34,454,Overstock,8154.29,0.0,2025-06-29
S001,P0034,Grocery,West,197.44,4.03,1.12,3,3.19,15.29,129,Overstock,19433.36,0.0,2025-06-29
S001,P0035,Electronics,West,155.59,4.33,8.38,14,51.73,112.32,0,Stockout Risk,0.0,9427.03,2025-06-29
S001,P0036,Home & Kitchen,West,43.75,2.47,0.75,7,3.27,20.57,353,Overstock,13643.58,0.0,2025-06-29
S001,P0037,Grocery,West,6.08,25.42,5.89,3,16.84,93.11,762,Overstock,3500.75,0.0,2025-06-29
S001,P0038,Home & Kitchen,West,164.01,23.01,7.23,7,31.58,192.61,552,Overstock,27352.09,0.0,2025-06-29
S001,P0039,Electronics,West,142.84,18.4,8.9,14,54.93,312.53,468,Healthy,0.0,0.0,2025-06-29
S001,P0040,Electronics,West,147.16,23.43,6.51,14,40.2,368.18,817,Overstock,11865.74,0.0,2025-06-29
S002,P0001,Electronics,Central,64.4,23.49,10.38,14,64.06,392.91,274,Stockout Risk,0.0,7657.57,2025-06-29
S002,P0002,Apparel,Central,24.05,4.06,1.07,10,5.57,46.13,106,Overstock,330.45,0.0,2025-06-29
S002,P0003,Apparel,Central,138.43,11.9,5.3,10,27.65,146.65,194,Healthy,0.0,0.0,2025-06-29
S002,P0004,Apparel,Central,90.83,5.07,2.11,10,11.0,61.72,150,Overstock,2411.96,0.0,2025-06-29
S002,P0005,Personal Care,Central,28.8,23.04,10.67,5,39.36,154.58,830,Overstock,15000.27,0.0,2025-06-29
S002,P0006,Home & Kitchen,Central,101.56,17.58,8.87,7,38.72,161.76,560,Overstock,24016.71,0.0,2025-06-29
S002,P0007,Apparel,Central,11.71,4.78,8.61,10,44.95,92.73,0,Stockout Risk,0.0,559.48,2025-06-29
S002,P0008,Personal Care,Central,182.32,3.79,0.98,5,3.6,22.57,114,Overstock,12553.66,0.0,2025-06-29
S002,P0009,Electronics,Central,55.46,9.88,2.76,14,17.03,155.32,311,Overstock,20.31,0.0,2025-06-29
S002,P0010,Home & Kitchen,Central,134.19,4.72,8.58,7,37.45,70.51,0,Stockout Risk,0.0,4435.73,2025-06-29
S002,P0011,Electronics,Central,65.78,20.5,9.93,14,61.3,348.3,585,Healthy,0.0,0.0,2025-06-29
S002,P0012,Home & Kitchen,Central,106.41,7.29,3.68,7,16.07,67.13,1024,Overstock,94676.82,0.0,2025-06-29
S002,P0013,Personal Care,Central,111.61,24.37,4.09,5,15.07,136.91,724,Overstock,50245.65,0.0,2025-06-29
S002,P0014,Grocery,Central,41.05,6.44,11.81,3,33.75,53.07,0,Stockout Risk,0.0,792.95,2025-06-29
S002,P0015,Home & Kitchen,Central,194.07,5.4,1.78,7,7.79,45.59,111,Overstock,3846.38,0.0,2025-06-29
S002,P0016,Electronics,Central,156.15,19.56,4.86,14,29.99,303.76,678,Overstock,11004.15,0.0,2025-06-29
S002,P0017,Personal Care,Central,188.2,21.48,4.74,5,17.48,124.87,579,Overstock,61968.31,0.0,2025-06-29
S002,P0018,Home & Kitchen,Central,179.49,16.12,5.13,7,22.37,135.19,499,Overstock,41034.45,0.0,2025-06-29
S002,P0019,Grocery,Central,121.59,21.74,10.81,3,30.89,96.12,588,Overstock,48119.43,0.0,2025-06-29
S002,P0020,Grocery,Central,184.77,14.83,4.33,3,12.38,56.88,370,Overstock,47344.6,0.0,2025-06-29
S002,P0021,Apparel,Central,22.26,15.91,5.86,10,30.56,189.68,328,Healthy,0.0,0.0,2025-06-29
S002,P0022,Apparel,Central,43.22,12.78,5.85,10,30.55,158.38,397,Overstock,3467.69,0.0,2025-06-29
S002,P0023,Electronics,Central,13.82,1.07,0.39,14,2.44,17.45,170,Overstock,1867.12,0.0,2025-06-29
S002,P0024,Home & Kitchen,Central,68.44,2.22,4.41,7,19.25,34.8,0,Stockout Risk,0.0,1064.62,2025-06-29
S002,P0025,Home & Kitchen,Central,80.79,2.95,1.52,7,6.64,27.29,95,Overstock,3265.38,0.0,2025-06-29
S002,P0026,Apparel,Central,57.91,7.32,1.95,10,10.2,83.42,1006,Overstock,48595.98,0.0,2025-06-29
S002,P0027,Home & Kitchen,Central,166.6,10.07,3.48,7,15.2,85.67,296,Overstock,20768.3,0.0,2025-06-29
S002,P0028,Home & Kitchen,Central,74.57,15.19,4.12,7,17.99,124.36,381,Overstock,9864.84,0.0,2025-06-29
S002,P0029,Grocery,Central,59.78,23.86,6.79,3,19.41,90.99,911,Overstock,43580.9,0.0,2025-06-29
S002,P0030,Apparel,Central,110.83,3.88,6.63,10,34.6,73.44,0,Stockout Risk,0.0,4303.9,2025-06-29
S002,P0031,Personal Care,Central,32.48,12.66,5.0,5,18.46,81.73,325,Overstock,5246.5,0.0,2025-06-29
S002,P0032,Apparel,Central,161.43,8.53,3.17,10,16.55,101.88,1179,Overstock,157432.1,0.0,2025-06-29
S002,P0033,Personal Care,Central,19.54,3.14,0.66,5,2.45,18.15,456,Overstock,8201.06,0.0,2025-06-29
S002,P0034,Grocery,Central,197.44,4.01,1.15,3,3.29,15.32,133,Overstock,20210.19,0.0,2025-06-29
S002,P0035,Electronics,Central,155.59,4.33,7.76,14,47.89,108.48,0,Stockout Risk,0.0,9427.03,2025-06-29
S002,P0036,Home & Kitchen,Central,43.75,2.49,0.73,7,3.2,20.67,349,Overstock,13460.5,0.0,2025-06-29
S002,P0037,Grocery,Central,6.08,25.12,5.82,3,16.64,91.99,817,Overstock,3848.79,0.0,2025-06-29
S002,P0038,Home & Kitchen,Central,164.01,21.72,7.45,7,32.53,184.58,783,Overstock,67872.45,0.0,2025-06-29
S002,P0039,Electronics,Central,142.84,18.89,9.69,14,59.82,324.34,379,Healthy,0.0,0.0,2025-06-29
S002,P0040,Electronics,Central,147.16,24.13,6.42,14,39.62,377.41,691,Healthy,0.0,0.0,2025-06-29
S003,P0001,Electronics,East,64.4,23.17,10.97,14,67.74,392.07,332,Stockout Risk,0.0,3868.78,2025-06-29
S003,P0002,Apparel,East,24.05,4.05,1.06,10,5.51,46.01,107,Overstock,360.39,0.0,2025-06-29
S003,P0003,Apparel,East,138.43,11.55,5.86,10,30.59,146.09,257,Healthy,0.0,0.0,2025-06-29
S003,P0004,Apparel,East,90.83,4.94,2.03,10,10.61,60.0,174,Overstock,4904.96,0.0,2025-06-29
S003,P0005,Personal Care,East,28.8,24.29,12.28,5,45.29,166.74,606,Overstock,7848.71,0.0,2025-06-29
S003,P0006,Home & Kitchen,East,101.56,17.35,9.64,7,42.08,163.53,601,Overstock,27822.3,0.0,2025-06-29
S003,P0007,Apparel,East,11.71,4.78,8.58,10,44.76,92.53,0,Stockout Risk,0.0,559.48,2025-06-29
S003,P0008,Personal Care,East,182.32,3.76,0.86,5,3.17,21.97,120,Overstock,13865.89,0.0,2025-06-29
S003,P0009,Electronics,East,55.46,9.98,2.81,14,17.34,157.03,293,Healthy,0.0,0.0,2025-06-29
S003,P0010,Home & Kitchen,East,134.19,4.72,8.23,7,35.94,69.0,0,Stockout Risk,0.0,4435.73,2025-06-29
S003,P0011,Electronics,East,65.78,21.45,9.85,14,60.81,361.11,414,Healthy,0.0,0.0,2025-06-29
S003,P0012,Home & Kitchen,East,106.41,7.64,3.87,7,16.87,70.38,961,Overstock,87280.7,0.0,2025-06-29
S003,P0013,Personal Care,East,111.61,24.45,4.48,5,16.53,138.78,709,Overstock,48153.3,0.0,2025-06-29
S003,P0014,Grocery,East,41.05,6.44,11.85,3,33.86,53.18,0,Stockout Risk,0.0,792.95,2025-06-29
S003,P0015,Home & Kitchen,East,194.07,5.11,1.86,7,8.12,43.86,164,Overstock,14803.49,0.0,2025-06-29
S003,P0016,Electronics,East,156.15,19.75,4.98,14,30.73,307.23,643,Overstock,4456.42,0.0,2025-06-29
S003,P0017,Personal Care,East,188.2,21.51,4.65,5,17.15,124.71,573,Overstock,60899.63,0.0,2025-06-29
S003,P0018,Home & Kitchen,East,179.49,15.64,4.95,7,21.6,131.11,584,Overstock,57757.18,0.0,2025-06-29
S003,P0019,Grocery,East,121.59,21.56,12.2,3,34.88,99.56,621,Overstock,51295.91,0.0,2025-06-29
S003,P0020,Grocery,East,184.77,14.07,4.6,3,13.16,55.38,507,Overstock,73214.94,0.0,2025-06-29
S003,P0021,Apparel,East,22.26,14.83,5.99,10,31.25,179.53,523,Overstock,3649.29,0.0,2025-06-29
S003,P0022,Apparel,East,43.22,13.32,5.62,10,29.34,162.51,301,Healthy,0.0,0.0,2025-06-29
S003,P0023,Electronics,East,13.82,1.09,0.4,14,2.46,17.7,167,Overstock,1818.59,0.0,2025-06-29
S003,P0024,Home & Kitchen,East,68.44,2.22,4.26,7,18.62,34.17,0,Stockout Risk,0.0,1064.62,2025-06-29
S003,P0025,Home & Kitchen,East,80.79,3.01,1.79,7,7.83,28.87,85,Overstock,2202.6,0.0,2025-06-29
S003,P0026,Apparel,East,57.91,7.29,1.93,10,10.08,83.02,1011,Overstock,48931.45,0.0,2025-06-29
S003,P0027,Home & Kitchen,East,166.6,9.61,3.62,7,15.8,83.04,379,Overstock,35473.83,0.0,2025-06-29
S003,P0028,Home & Kitchen,East,74.57,14.91,4.39,7,19.16,123.54,432,Overstock,13789.31,0.0,2025-06-29
S003,P0029,Grocery,East,59.78,23.87,7.09,3,20.26,91.87,909,Overstock,43355.79,0.0,2025-06-29
S003,P0030,Apparel,East,110.83,3.88,6.82,10,35.59,74.42,0,Stockout Risk,0.0,4303.9,2025-06-29
S003,P0031,Personal Care,East,32.48,12.93,5.32,5,19.63,84.27,276,Overstock,3490.29,0.0,2025-06-29
S003,P0032,Apparel,East,161.43,8.46,3.05,10,15.92,100.47,1193,Overstock,160148.04,0.0,2025-06-29
S003,P0033,Personal Care,East,19.54,3.14,0.71,5,2.63,18.33,456,Overstock,8194.08,0.0,2025-06-29
S003,P0034,Grocery,East,197.44,4.21,1.07,3,3.07,15.68,98,Overstock,13155.69,0.0,2025-06-29
S003,P0035,Electronics,East,155.59,4.33,7.69,14,47.47,108.05,0,Stockout Risk,0.0,9427.03,2025-06-29
S003,P0036,Home & Kitchen,East,43.75,2.43,0.61,7,2.68,19.68,361,Overstock,14071.85,0.0,2025-06-29
S003,P0037,Grocery,East,6.08,25.27,5.85,3,16.72,92.54,789,Overstock,3671.86,0.0,2025-06-29
S003,P0038,Home & Kitchen,East,164.01,20.83,7.71,7,33.67,179.46,944,Overstock,95957.49,0.0,2025-06-29
S003,P0039,Electronics,East,142.84,17.54,9.89,14,61.04,306.66,622,Overstock,1239.72,0.0,2025-06-29
S003,P0040,Electronics,East,147.16,24.21,6.86,14,42.34,381.22,677,Healthy,0.0,0.0,2025-06-29
S004,P0001,Electronics,Central,64.4,22.45,10.25,14,63.27,377.57,461,Healthy,0.0,0.0,2025-06-29
S004,P0002,Apparel,Central,24.05,4.09,1.14,10,5.96,46.85,100,Overstock,151.74,0.0,2025-06-29
S004,P0003,Apparel,Central,138.43,11.18,5.44,10,28.38,140.22,323,Overstock,5892.08,0.0,2025-06-29
S004,P0004,Apparel,Central,90.83,5.42,1.76,10,9.19,63.41,87,Healthy,0.0,0.0,2025-06-29
S004,P0005,Personal Care,Central,28.8,23.33,11.97,5,44.15,160.79,779,Overstock,13173.62,0.0,2025-06-29
S004,P0006,Home & Kitchen,Central,101.56,18.48,8.75,7,38.18,167.56,397,Overstock,6283.66,0.0,2025-06-29
S004,P0007,Apparel,Central,11.71,4.78,8.29,10,43.28,91.06,0,Stockout Risk,0.0,559.48,2025-06-29
S004,P0008,Personal Care,Central,182.32,3.77,0.91,5,3.34,22.2,118,Overstock,13417.73,0.0,2025-06-29
S004,P0009,Electronics,Central,55.46,10.08,2.69,14,16.6,157.69,275,Healthy,0.0,0.0,2025-06-29
S004,P0010,Home & Kitchen,Central,134.19,4.72,8.43,7,36.8,69.86,0,Stockout Risk,0.0,4435.73,2025-06-29
S004,P0011,Electronics,Central,65.78,20.78,10.75,14,66.38,357.27,535,Healthy,0.0,0.0,2025-06-29
S004,P0012,Home & Kitchen,Central,106.41,7.26,3.64,7,15.89,66.72,1030,Overstock,95403.48,0.0,2025-06-29
S004,P0013,Personal Care,Central,111.61,24.39,4.26,5,15.72,137.67,720,Overstock,49629.15,0.0,2025-06-29
S004,P0014,Grocery,Central,41.05,6.44,12.32,3,35.21,54.53,0,Stockout Risk,0.0,792.95,2025-06-29
S004,P0015,Home & Kitchen,Central,194.07,5.08,1.71,7,7.47,43.01,169,Overstock,16102.57,0.0,2025-06-29
S004,P0016,Electronics,Central,156.15,19.94,5.55,14,34.25,313.39,609,Healthy,0.0,0.0,2025-06-29
S004,P0017,Personal Care,Central,188.2,21.51,4.36,5,16.08,123.64,573,Overstock,61302.25,0.0,2025-06-29
S004,P0018,Home & Kitchen,Central,179.49,16.16,4.83,7,21.09,134.18,492,Overstock,40142.83,0.0,2025-06-29
S004,P0019,Grocery,Central,121.59,20.94,10.58,3,30.25,93.06,733,Overstock,66494.67,0.0,2025-06-29
S004,P0020,Grocery,Central,184.77,14.82,4.27,3,12.22,56.67,373,Overstock,47978.77,0.0,2025-06-29
S004,P0021,Apparel,Central,22.26,15.9,5.29,10,27.6,186.6,330,Healthy,0.0,0.0,2025-06-29
S004,P0022,Apparel,Central,43.22,12.66,5.84,10,30.48,157.09,419,Overstock,4530.23,0.0,2025-06-29
S004,P0023,Electronics,Central,13.82,1.18,0.45,14,2.8,19.36,150,Overstock,1537.78,0.0,2025-06-29
S004,P0024,Home & Kitchen,Central,68.44,2.22,4.5,7,19.63,35.18,0,Stockout Risk,0.0,1064.62,2025-06-29
S004,P0025,Home & Kitchen,Central,80.79,2.86,1.65,7,7.2,27.23,111,Overstock,4568.35,0.0,2025-06-29
S004,P0026,Apparel,Central,57.91,7.11,1.9,10,9.91,81.02,1044,Overstock,51073.76,0.0,2025-06-29
S004,P0027,Home & Kitchen,Central,166.6,9.41,3.62,7,15.8,81.64,415,Overstock,41937.46,0.0,2025-06-29
S004,P0028,Home & Kitchen,Central,74.57,14.94,4.63,7,20.23,124.8,427,Overstock,13228.04,0.0,2025-06-29
S004,P0029,Grocery,Central,59.78,24.51,7.3,3,20.86,94.38,795,Overstock,36241.54,0.0,2025-06-29
S004,P0030,Apparel,Central,110.83,3.88,6.86,10,35.8,74.64,0,Stockout Risk,0.0,4303.9,2025-06-29
S004,P0031,Personal Care,Central,32.48,13.27,5.36,5,19.78,86.14,214,Overstock,1354.98,0.0,2025-06-29
S004,P0032,Apparel,Central,161.43,8.57,3.09,10,16.1,101.77,1173,Overstock,156500.37,0.0,2025-06-29
S004,P0033,Personal Care,Central,19.54,3.21,0.72,5,2.66,18.69,444,Overstock,7945.53,0.0,2025-06-29
S004,P0034,Grocery,Central,197.44,4.15,1.28,3,3.65,16.1,108,Overstock,14967.57,0.0,2025-06-29
S004,P0035,Electronics,Central,155.59,4.33,8.37,14,51.69,112.27,0,Stockout Risk,0.0,9427.03,2025-06-29
S004,P0036,Home & Kitchen,Central,43.75,2.46,0.78,7,3.39,20.62,355,Overstock,13726.94,0.0,2025-06-29
S004,P0037,Grocery,Central,6.08,25.36,5.79,3,16.55,92.63,773,Overstock,3573.43,0.0,2025-06-29
S004,P0038,Home & Kitchen,Central,164.01,22.76,8.0,7,34.93,194.22,597,Overstock,34205.68,0.0,2025-06-29
S004,P0039,Electronics,Central,142.84,17.64,9.46,14,58.37,305.32,605,Healthy,0.0,0.0,2025-06-29
S004,P0040,Electronics,Central,147.16,23.84,6.64,14,41.02,374.84,742,Healthy,0.0,0.0,2025-06-29
S005,P0001,Electronics,Central,64.4,21.49,9.8,14,60.5,361.35,634,Healthy,0.0,0.0,2025-06-29
S005,P0002,Apparel,Central,24.05,4.04,0.97,10,5.05,45.44,109,Overstock,435.76,0.0,2025-06-29
S005,P0003,Apparel,Central,138.43,11.37,4.79,10,25.0,138.72,289,Overstock,1599.78,0.0,2025-06-29
S005,P0004,Apparel,Central,90.83,5.16,2.06,10,10.72,62.33,134,Overstock,847.46,0.0,2025-06-29
S005,P0005,Personal Care,Central,28.8,23.46,11.2,5,41.34,158.64,755,Overstock,12606.1,0.0,2025-06-29
S005,P0006,Home & Kitchen,Central,101.56,17.74,9.69,7,42.3,166.47,531,Overstock,20115.36,0.0,2025-06-29
S005,P0007,Apparel,Central,11.71,4.78,8.63,10,45.04,92.82,0,Stockout Risk,0.0,559.48,2025-06-29
S005,P0008,Personal Care,Central,182.32,3.84,0.86,5,3.18,22.4,105,Overstock,10975.17,0.0,2025-06-29
S005,P0009,Electronics,Central,55.46,10.16,2.69,14,16.6,158.78,261,Healthy,0.0,0.0,2025-06-29
S005,P0010,Home & Kitchen,Central,134.19,4.72,8.73,7,38.09,71.15,0,Stockout Risk,0.0,4435.73,2025-06-29
S005,P0011,Electronics,Central,65.78,20.37,9.86,14,60.87,346.09,608,Healthy,0.0,0.0,2025-06-29
S005,P0012,Home & Kitchen,Central,106.41,6.98,3.54,7,15.46,64.31,1081,Overstock,101343.63,0.0,2025-06-29
S005,P0013,Personal Care,Central,111.61,24.46,4.61,5,17.01,139.31,707,Overstock,47810.88,0.0,2025-06-29
S005,P0014,Grocery,Central,41.05,6.44,11.88,3,33.96,53.28,0,Stockout Risk,0.0,792.95,2025-06-29
S005,P0015,Home & Kitchen,Central,194.07,5.21,1.69,7,7.36,43.84,145,Overstock,11124.0,0.0,2025-06-29
S005,P0016,Electronics,Central,156.15,19.72,5.22,14,32.21,308.32,648,Overstock,4898.02,0.0,2025-06-29
S005,P0017,Personal Care,Central,188.2,20.88,5.31,5,19.59,124.01,686,Overstock,82427.69,0.0,2025-06-29
S005,P0018,Home & Kitchen,Central,179.49,16.38,5.14,7,22.43,137.11,451,Overstock,31730.17,0.0,2025-06-29
S005,P0019,Grocery,Central,121.59,20.58,11.35,3,32.44,94.18,798,Overstock,74127.15,0.0,2025-06-29
S005,P0020,Grocery,Central,184.77,14.92,4.33,3,12.38,57.15,354,Overstock,44289.8,0.0,2025-06-29
S005,P0021,Apparel,Central,22.26,15.05,5.71,10,29.77,180.27,483,Overstock,2726.07,0.0,2025-06-29
S005,P0022,Apparel,Central,43.22,12.97,5.59,10,29.18,158.9,363,Overstock,1953.51,0.0,2025-06-29
S005,P0023,Electronics,Central,13.82,1.09,0.44,14,2.74,18.06,166,Overstock,1794.94,0.0,2025-06-29
S005,P0024,Home & Kitchen,Central,68.44,2.22,4.44,7,19.37,34.92,0,Stockout Risk,0.0,1064.62,2025-06-29
S005,P0025,Home & Kitchen,Central,80.79,2.89,1.66,7,7.25,27.52,105,Overstock,4037.07,0.0,2025-06-29
S005,P0026,Apparel,Central,57.91,7.44,1.99,10,10.37,84.75,985,Overstock,47225.13,0.0,2025-06-29
S005,P0027,Home & Kitchen,Central,166.6,10.23,3.49,7,15.25,86.85,267,Overstock,15544.38,0.0,2025-06-29
S005,P0028,Home & Kitchen,Central,74.57,14.97,4.44,7,19.36,124.17,421,Overstock,12875.61,0.0,2025-06-29
S005,P0029,Grocery,Central,59.78,24.94,6.51,3,18.6,93.43,716,Overstock,31631.45,0.0,2025-06-29
S005,P0030,Apparel,Central,110.83,3.88,6.73,10,35.11,73.94,0,Stockout Risk,0.0,4303.9,2025-06-29
S005,P0031,Personal Care,Central,32.48,12.47,4.53,5,16.7,79.04,359,Overstock,6526.17,0.0,2025-06-29
S005,P0032,Apparel,Central,161.43,8.42,3.15,10,16.44,100.67,1199,Overstock,161053.31,0.0,2025-06-29
S005,P0033,Personal Care,Central,19.54,3.14,0.73,5,2.7,18.42,455,Overstock,8170.84,0.0,2025-06-29
S005,P0034,Grocery,Central,197.44,4.16,1.15,3,3.28,15.75,107,Overstock,14906.55,0.0,2025-06-29
S005,P0035,Electronics,Central,155.59,4.33,7.87,14,48.59,109.18,0,Stockout Risk,0.0,9427.03,2025-06-29
S005,P0036,Home & Kitchen,Central,43.75,2.52,0.76,7,3.3,20.96,344,Overstock,13216.31,0.0,2025-06-29
S005,P0037,Grocery,Central,6.08,25.11,5.81,3,16.61,91.93,819,Overstock,3861.65,0.0,2025-06-29
S005,P0038,Home & Kitchen,Central,164.01,22.3,8.4,7,36.68,192.78,679,Overstock,48127.02,0.0,2025-06-29
S005,P0039,Electronics,Central,142.84,17.66,9.72,14,60.01,307.19,602,Healthy,0.0,0.0,2025-06-29
S005,P0040,Electronics,Central,147.16,24.37,6.37,14,39.33,380.54,647,Healthy,0.0,0.0,2025-06-29
